statistic_name,stage_t,mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_seed,B_boot
Regret_ETO_pop_sims,0,5.411195271427394e-05,5.243178606982913e-05,5.584579729095082e-05,20260913,2000
Regret_ETO_pop_sims,1,5.256758590396689e-05,5.081288856152087e-05,5.445657210810523e-05,20260913,2000
Regret_ETO_pop_sims,2,9.85507150719409e-05,7.436328415726054e-05,0.00013104582364484844,20260913,2000
Regret_ETO_pop_sims,3,0.00013827815563602843,0.00010211833171943099,0.00018228810326472204,20260913,2000
Regret_ETO_pop_sims,4,0.00018875339465622426,0.0001426052214424059,0.0002425583270354955,20260913,2000
Regret_ETO_pop_sims,5,0.0001716603248918131,0.00012405953720041925,0.0002286759906680471,20260913,2000
Regret_ETO_pop_sims,6,0.0002890733344750476,0.00019971856432478182,0.0004122332479740666,20260913,2000
Regret_ETO_pop_sims,7,0.00020856283161499684,0.00016573410670935816,0.00025704298076615267,20260913,2000
Regret_ETO_pop_sims,8,0.00026352855320446055,0.00019459762637701937,0.0003432886014158941,20260913,2000
Regret_ETO_pop_sims,9,0.0002278563710380686,0.00018191403228274167,0.00027687565456793625,20260913,2000
Regret_ETO_pop_sims,10,0.00018301794357488446,0.0001449077632486756,0.00022621427410459628,20260913,2000
Regret_ETO_pop_sims,11,0.0002105093750787928,0.00015738623846090196,0.0002756884931367568,20260913,2000
Regret_ETO_pop_sims,12,0.00022210585861542036,0.00017242602471383308,0.00027556608710274536,20260913,2000
Regret_ETO_pop_sims,13,0.00018506663822665247,0.00015283851350080628,0.0002233519799157298,20260913,2000
Regret_ETO_pop_sims,14,0.00017136107943781857,0.0001386010259324977,0.00020980337390844245,20260913,2000
Regret_ETO_pop_sims,15,0.00019214472786331478,0.0001538913682618,0.0002343970856638611,20260913,2000
Regret_ETO_pop_sims,16,0.0001826622281572468,0.0001467322764526629,0.0002281030827574577,20260913,2000
Regret_ETO_pop_sims,17,0.0001868058227528062,0.0001488212118566232,0.00023459956339432888,20260913,2000
Regret_ETO_pop_sims,18,0.00014960916757964519,0.00012029975253458367,0.00018610515336442814,20260913,2000
Regret_ETO_pop_sims,19,0.0001447984144135098,0.00011190765279598862,0.00018507838809017597,20260913,2000
Regret_ETO_pop_sims,20,0.00016921275589709117,0.00013701869713209747,0.0002076162904066074,20260913,2000
Regret_ETO_pop_sims,21,0.00014901291616629812,0.00011603640555475677,0.00019099683906320886,20260913,2000
Regret_ETO_pop_sims,22,0.0001235236019016526,9.378736302234366e-05,0.00015726729938252232,20260913,2000
Regret_ETO_pop_sims,23,0.000115274441386136,9.169510904309416e-05,0.00014142714445933784,20260913,2000
Regret_ETO_pop_sims,24,0.00010911122418621104,9.085108113427425e-05,0.00013054089395463737,20260913,2000
Regret_ETO_pop_sims,25,0.00011950672807452217,9.391843905770076e-05,0.00014955822353300064,20260913,2000
Regret_ETO_pop_sims,26,9.618682941842668e-05,7.709549380966123e-05,0.00011902333641653225,20260913,2000
