stage_t,mean_slope_gap,mean_intercept_gap,mean_slope_angle_degrees,mean_intercept_angle_degrees,median_slope_gap,median_intercept_gap,slope_gap_bootstrap_ci_low,slope_gap_bootstrap_ci_high,intercept_gap_bootstrap_ci_low,intercept_gap_bootstrap_ci_high,slope_angle_bootstrap_ci_low,slope_angle_bootstrap_ci_high,intercept_angle_bootstrap_ci_low,intercept_angle_bootstrap_ci_high
0,6.31012646729818,24.2482486848442,9.59479086558638,7.69516366853936,5.0566242892519,17.9953317122188,6.095563214343234,6.517782096357652,23.25445264205337,25.24274249416909,8.249720672228081,10.972246314035294,7.0995846659073445,8.356595077601986
1,5.28512829340833,19.4316967927156,6.4476919197988,7.32858146717077,4.26773392559899,13.9002330991432,5.095473739056021,5.495588116198411,18.59005291606958,20.283629159112053,5.458314467269924,7.471226317500965,6.73354726721575,7.946505435798915
2,8.66069872365983,44.9688721292459,7.42029176922245,8.51326127467195,4.09032999594745,13.7654498549815,7.623876361434296,9.854060641030685,36.60756402766221,55.0508202868564,6.240602260614979,8.563359396807837,7.785582730286897,9.264696276604836
3,11.7291214504106,69.889168149021,9.51857511549072,8.24725793770003,4.11868472815022,13.4290968361792,9.991198758779817,13.632667254807725,55.83307922461904,85.10244687387419,8.115491557593364,10.957210450689923,7.575009795158329,8.973022497028056
4,14.239926949463,90.0247504033876,10.2603790090768,8.21708700575808,3.97673684438024,13.8121961185179,12.317658924133315,16.200223187866563,73.98302687013165,107.08221595223146,8.773480289282896,11.804298287971983,7.596557935815018,8.816925489508712
5,14.3606597691771,91.8600997596639,9.70429082297661,7.77613762066007,3.89358497275804,13.5844542723012,12.483052307752427,16.34010895493312,76.01248678157245,108.45684317463638,8.277628988383151,11.16323519967608,7.227163909180208,8.383691914250411
6,17.9254258993349,124.707920237453,11.4648335991876,8.36227913931483,4.1688883870008,13.6496975938042,15.555028823156775,20.427723264505975,105.01348683384164,145.67548134451357,9.952450836445763,13.10403844129296,7.669878855455982,9.053403116569546
7,17.2577156784223,117.706831134312,11.0282146020535,8.69524545475913,3.98701254310822,13.8426113506756,15.144228896658612,19.339623952196174,99.74116846568637,136.0570945893836,9.501590832689415,12.644788091904925,7.968893818600794,9.428195466211836
8,18.6662960632006,129.431864832011,10.7788628239696,7.88148707215509,3.78416673196153,14.046880626034,16.19283737284272,21.24318140592406,109.44463982347467,151.20610081055383,9.265462870032252,12.361756583317455,7.305622271870674,8.53794086380922
9,18.3004833369261,129.450654717199,10.8469729419083,8.16576201049053,3.60892776173263,12.064903892056,16.033429380215306,20.53652125063516,110.14981808754247,149.22322782931352,9.399618964463684,12.32431746493029,7.515724946517812,8.84931788327532
10,16.5497880071198,115.432427587626,11.0487080333005,8.36371385856319,3.66631839434656,11.9489407092759,14.426584660965071,18.796521292926485,97.04770833453235,135.5985939407784,9.561961699280172,12.566723522654806,7.719715616062583,9.013386630403735
11,18.326564329561,128.928287952229,10.1953895520945,8.90100732558111,3.7489545648907,12.236299710813,16.060036110735936,20.83106301759575,109.27421106073935,149.72801372056767,8.800431057644651,11.682733172627573,8.23186107974169,9.63472100106714
12,19.5815031161571,131.895716802643,9.35831801400964,8.11567384099097,3.47705568590762,11.1862032259628,17.051449225890856,22.217977301571292,111.51801289305772,153.62885674393883,8.025302180732403,10.8310156064938,7.493955959791688,8.793681962193007
