stage_t,regret_pop_eto_mean,regret_pop_ieo_mean,regret_pop_eto_se,regret_pop_ieo_se,regret_pop_eto_ci_low,regret_pop_eto_ci_high,regret_pop_ieo_ci_low,regret_pop_ieo_ci_high,difference_pop_eto_minus_ieo
27,6.925462781604879e-07,1.2238636426189376e-06,9.415099581098267e-09,2.0125389956306426e-08,6.740926829815353e-07,7.109998733394404e-07,1.184417878304577e-06,1.2633094069332982e-06,-5.313173644584498e-07
28,6.540933736625235e-07,1.141396800681266e-06,8.33990247419543e-09,1.6867527277076664e-08,6.377471648131004e-07,6.704395825119465e-07,1.108336447218196e-06,1.1744571541443363e-06,-4.873034270187426e-07
29,6.228447169476147e-07,1.0622767311781348e-06,8.165428280734952e-09,1.5740804430548394e-08,6.068404775173742e-07,6.388489563778552e-07,1.03142475449426e-06,1.0931287078620096e-06,-4.394320142305201e-07
30,5.863844053769836e-07,1.002833039092567e-06,7.842265665458477e-09,1.5844259177111247e-08,5.710135646726851e-07,6.017552460812822e-07,9.71778291105429e-07,1.033887787079705e-06,-4.1644863371558335e-07
31,5.738454549975732e-07,9.507968544596869e-07,7.159244507120654e-09,1.3435740224219988e-08,5.598133357636167e-07,5.878775742315297e-07,9.244628036202157e-07,9.77130905299158e-07,-3.769513994621137e-07
32,5.574667498516396e-07,9.143877647184006e-07,7.201340280336416e-09,1.353306955150764e-08,5.433521229021802e-07,5.715813768010989e-07,8.878629483974456e-07,9.409125810393556e-07,-3.56921014866761e-07
33,5.292722538956537e-07,8.69310435655211e-07,6.714546942947999e-09,1.2765950735097714e-08,5.161117418874756e-07,5.424327659038317e-07,8.442891722144195e-07,8.943316990960026e-07,-3.4003818175955735e-07
34,5.092406030345243e-07,8.323089177363772e-07,6.623423461528126e-09,1.2649516526732385e-08,4.962586930499291e-07,5.222225130191194e-07,8.075158653439817e-07,8.571019701287727e-07,-3.2306831470185295e-07
35,4.885265236049138e-07,7.588582463986608e-07,6.237144111807097e-09,1.0926552781535488e-08,4.763017211457719e-07,5.007513260640557e-07,7.374422029468512e-07,7.802742898504704e-07,-2.70331722793747e-07
36,4.666031724861662e-07,7.178978832936427e-07,5.645195721633445e-09,9.626512801319784e-09,4.5553858887176464e-07,4.776677561005677e-07,6.990299182030559e-07,7.367658483842295e-07,-2.512947108074765e-07
37,4.4897829592763093e-07,6.900704657944456e-07,5.468268050873723e-09,9.744152261489025e-09,4.3826049054791844e-07,4.5969610130734343e-07,6.709719273619272e-07,7.091690042269641e-07,-2.410921698668147e-07
38,4.346244296387077e-07,6.502936997904316e-07,5.238786065013524e-09,8.718645773326266e-09,4.243564089512812e-07,4.448924503261342e-07,6.332051540747121e-07,6.673822455061511e-07,-2.156692701517239e-07
39,4.2240329353107717e-07,6.33136078813574e-07,5.232772489605036e-09,8.726107444379806e-09,4.121470594514513e-07,4.32659527610703e-07,6.160329082225896e-07,6.502392494045584e-07,-2.1073278528249684e-07
40,4.0301516408401815e-07,5.839967082302459e-07,4.803079237318912e-09,7.550411875303876e-09,3.936011287788731e-07,4.124291993891632e-07,5.691979009546503e-07,5.987955155058414e-07,-1.809815441462277e-07
41,3.957730771664868e-07,5.668660547081049e-07,4.764560128047955e-09,7.388617210239214e-09,3.8643453931551284e-07,4.051116150174608e-07,5.52384364976036e-07,5.813477444401737e-07,-1.7109297754161804e-07
42,3.9116712414141615e-07,5.497370522812802e-07,4.762528860753153e-09,7.307097895475841e-09,3.8183256757434e-07,4.005016807084923e-07,5.354151404061476e-07,5.640589641564128e-07,-1.5856992813986407e-07
43,3.6921833716427455e-07,5.062379400097454e-07,4.3940037294052946e-09,6.425058725719758e-09,3.6060608985464015e-07,3.7783058447390894e-07,4.936448249073347e-07,5.188310551121562e-07,-1.370196028454709e-07
44,3.686389170018815e-07,4.896026293520675e-07,4.422862617045914e-09,6.027820450839558e-09,3.599701062724715e-07,3.773077277312915e-07,4.777881012684219e-07,5.014171574357131e-07,-1.2096371235018598e-07
45,3.555999466251913e-07,4.7245341257705826e-07,4.2639624029301465e-09,5.832890903936197e-09,3.472425803154482e-07,3.639573129349344e-07,4.610209464053433e-07,4.838858787487732e-07,-1.1685346595186695e-07
46,3.5025104992928953e-07,4.6133477397552935e-07,4.081409988759088e-09,5.470679282350914e-09,3.422514863513217e-07,3.5825061350725735e-07,4.5061224258212156e-07,4.7205730536893714e-07,-1.1108372404623982e-07
47,3.493907246567426e-07,4.5441099718879916e-07,4.175559066490747e-09,5.7469996030827044e-09,3.4120662888642074e-07,3.575748204270645e-07,4.431468779667571e-07,4.6567511641084125e-07,-1.0502027253205655e-07
48,3.4429082663578394e-07,4.4889265146984925e-07,3.909101848052632e-09,5.474661697017363e-09,3.366289870136008e-07,3.5195266625796707e-07,4.3816231454369523e-07,4.596229883960033e-07,-1.0460182483406532e-07
49,3.339951264056471e-07,4.3589463225330657e-07,3.928058367080434e-09,5.3130219343729706e-09,3.2629613200616947e-07,3.416941208051247e-07,4.2548110926193554e-07,4.463081552446776e-07,-1.0189950584765947e-07
