Date,Food,Food_Return（小数）,Clths,Clths_Return（小数）,Hlth,Hlth_Return（小数）,Chems,Chems_Return（小数）,Cnstr,Cnstr_Return（小数）,Steel,Steel_Return（小数）,Autos,Autos_Return（小数）,Oil,Oil_Return（小数）,Util,Util_Return（小数）,Telcm,Telcm_Return（小数）,Servs,Servs_Return（小数）,BusEq,BusEq_Return（小数）,Paper,Paper_Return（小数）,Trans,Trans_Return（小数）,Whlsl,Whlsl_Return（小数）,Rtail,Rtail_Return（小数）,Fin,Fin_Return（小数）,Mines,Mines_Return（小数）,ElcEq,ElcEq_Return（小数）,Meals,Meals_Return（小数）
2017-01-19,-0.47,-0.004699999999999999,-0.7,-0.006999999999999999,-0.88,-0.0088,-0.71,-0.0070999999999999995,-0.59,-0.0059,-2.08,-0.0208,-0.04,-0.0004,-0.76,-0.0076,-0.82,-0.008199999999999999,0.18,0.0018,-0.32,-0.0032,-0.29,-0.0029,-0.65,-0.006500000000000001,1.57,0.015700000000000002,-1.01,-0.0101,-0.66,-0.0066,-0.44,-0.0044,-0.38,-0.0038,0.46,0.0046,-0.4,-0.004
2017-01-20,0.66,0.0066,0.55,0.0055000000000000005,-0.35,-0.0034999999999999996,0.85,0.0085,0.36,0.0036,0.7,0.006999999999999999,-0.18,-0.0018,0.66,0.0066,0.22,0.0022,0.64,0.0064,0.56,0.005600000000000001,0.29,0.0029,0.2,0.002,0.72,0.0072,0.5,0.005,-0.31,-0.0031,0.46,0.0046,1.11,0.0111,0.43,0.0043,0.17,0.0017000000000000001
2017-01-23,-0.12,-0.0012,0.03,0.0003,-0.56,-0.005600000000000001,0.03,0.0003,-0.02,-0.0002,-0.67,-0.0067,-0.31,-0.0031,-1.01,-0.0101,-0.58,-0.0058,0.23,0.0023,0.42,0.0042,-0.53,-0.0053,0.54,0.0054,-0.77,-0.0077,-0.49,-0.0049,-0.1,-0.001,-0.44,-0.0044,1.13,0.0113,-0.64,-0.0064,-0.18,-0.0018
2017-01-24,0.58,0.0058,1.0,0.01,-0.58,-0.0058,2.59,0.0259,3.68,0.0368,3.06,0.030600000000000002,1.89,0.0189,1.03,0.0103,0.43,0.0043,-0.78,-0.0078000000000000005,1.01,0.0101,1.01,0.0101,1.13,0.0113,1.35,0.013500000000000002,0.84,0.0084,0.66,0.0066,1.17,0.011699999999999999,3.12,0.031200000000000002,1.65,0.0165,0.6,0.006
2017-01-25,0.36,0.0036,0.97,0.0097,0.86,0.0086,0.72,0.0072,2.28,0.022799999999999997,-0.92,-0.0092,1.99,0.0199,0.54,0.0054,0.08,0.0008,-0.03,-0.0003,0.86,0.0086,1.11,0.0111,0.88,0.0088,1.32,0.0132,1.09,0.0109,0.21,0.0021,1.36,0.013600000000000001,0.21,0.0021,2.42,0.0242,0.61,0.0060999999999999995
2017-01-26,-0.64,-0.0064,-0.79,-0.0079,-0.68,-0.0068000000000000005,0.95,0.0095,-0.15,-0.0015,1.21,0.0121,-1.43,-0.0143,0.07,0.0007000000000000001,0.06,0.0006,1.29,0.0129,-0.02,-0.0002,-0.45,-0.0045000000000000005,-0.5,-0.005,0.82,0.008199999999999999,-1.43,-0.0143,-0.07,-0.0007000000000000001,0.18,0.0018,-1.7,-0.017,0.54,0.0054,-0.17,-0.0017000000000000001
2017-01-27,-0.34,-0.0034000000000000002,-1.37,-0.0137,0.94,0.009399999999999999,-0.55,-0.0055000000000000005,-0.9,-0.009000000000000001,0.06,0.0006,-0.4,-0.004,-1.1,-0.011000000000000001,-0.33,-0.0033,0.3,0.003,0.08,0.0008,0.48,0.0048,-0.15,-0.0015,-0.67,-0.0067,-0.61,-0.0060999999999999995,-0.88,-0.0088,-0.36,-0.0036,0.93,0.009300000000000001,-0.55,-0.0055000000000000005,-0.66,-0.0066
2017-01-30,-0.22,-0.0022,0.06,0.0006,-0.62,-0.0062,-1.29,-0.0129,-0.8,-0.008,-1.51,-0.0151,-1.16,-0.0116,-1.9,-0.019,-0.29,-0.0029,-0.17,-0.0017000000000000001,-0.95,-0.0095,-0.53,-0.0053,-0.86,-0.0086,-1.46,-0.0146,-0.32,-0.0032,0.11,0.0011,-0.81,-0.008100000000000001,-0.83,-0.0083,-1.11,-0.0111,-0.14,-0.0014000000000000002
2017-01-31,0.24,0.0024,-0.93,-0.009300000000000001,1.47,0.0147,-0.53,-0.0053,-0.69,-0.0069,-0.97,-0.0097,0.5,0.005,-0.21,-0.0021,1.52,0.0152,0.13,0.0013,-0.34,-0.0034000000000000002,0.01,0.0001,0.14,0.0014000000000000002,-1.99,-0.0199,0.54,0.0054,0.12,0.0012,-0.53,-0.0053,0.73,0.0073,0.04,0.0004,-0.52,-0.0052
2017-02-01,-0.68,-0.0068000000000000005,-0.72,-0.0072,0.58,0.0058,0.84,0.0084,0.0,0.0,1.02,0.0102,-0.08,-0.0008,-0.75,-0.0075,-1.52,-0.0152,-0.07,-0.0007000000000000001,-0.39,-0.0039000000000000003,1.79,0.0179,0.4,0.004,-0.08,-0.0008,0.08,0.0008,-0.4,-0.004,0.18,0.0018,0.25,0.0025,0.14,0.0014000000000000002,-1.01,-0.0101
2017-02-02,0.76,0.0076,-1.07,-0.010700000000000001,0.34,0.0034000000000000002,-0.46,-0.0046,-0.62,-0.0062,1.46,0.0146,-0.81,-0.008100000000000001,0.62,0.0062,1.1,0.011000000000000001,-1.08,-0.0108,-0.03,-0.0003,0.19,0.0019,-0.72,-0.0072,-0.43,-0.0043,-0.04,-0.0004,0.22,0.0022,-0.54,-0.0054,0.39,0.0039000000000000003,-0.03,-0.0003,0.41,0.0040999999999999995
2017-02-03,0.6,0.006,-1.89,-0.0189,0.78,0.0078000000000000005,0.58,0.0058,1.12,0.011200000000000002,0.54,0.0054,1.0,0.01,0.89,0.0089,0.48,0.0048,0.32,0.0032,0.74,0.0074,0.64,0.0064,0.21,0.0021,1.29,0.0129,0.7,0.006999999999999999,-0.5,-0.005,2.14,0.021400000000000002,-1.08,-0.0108,1.18,0.0118,0.96,0.0096
2017-02-06,-0.64,-0.0064,0.39,0.0039000000000000003,-0.06,-0.0006,-0.36,-0.0036,-0.78,-0.0078000000000000005,0.42,0.0042,0.41,0.0040999999999999995,-0.9,-0.009000000000000001,-0.38,-0.0038,-0.79,-0.0079,-0.05,-0.0005,0.23,0.0023,-0.79,-0.0079,-0.03,-0.0003,-0.24,-0.0024,-0.46,-0.0046,-0.46,-0.0046,0.34,0.0034000000000000002,-0.06,-0.0006,0.23,0.0023
