replication,seed,stage_t,Regret_ETO_pop,Regret_IEO_pop,Delta_ETO_minus_IEO,contribution_to_stage_mean_ETO,contribution_to_stage_mean_IEO,min_eig_Sigma,cond_Sigma,min_eig_Sigma1,cond_Sigma1,kappa1_next,kappa2_next,lambda1,norm_u_star,norm_u_ETO,norm_u_IEO,budget_residual_star,budget_residual_ETO,budget_residual_IEO,KKT_residual_star,solve_residual_1,solve_residual_mu,near_spd_flag,high_residual_flag,max_sigma,min_sigma,mean_sigma
1382,21424,5,0.0267323050771759,0.00953706255049903,0.0171952425266769,0.0778639592288541,0.0252008450910648,7.68369150804461e-10,199209.10327071,8.1026857177977e-10,1186592.54330371,-0.0217297580414707,8.09075576111315e-05,0.0222297580414707,5802.75421486909,233.060020979623,4464.41287103618,4.54747350886464e-13,7.105427357601e-15,9.09494701772928e-13,4.53632615771997e-13,4.63217191196652e-15,3.56543271092499e-15,0,0,0.00608960696337312,0.005,0.00526403650458286
1612,21654,6,0.0263554359085399,0.00695471385608429,0.0194007220524557,0.0455860723999344,0.0164158215887699,7.72324339180692e-10,196011.455390161,9.35680870600561e-10,425265.0841707,-0.0213895368020689,2.47005854251711e-05,0.0218895368020689,5431.22984974868,258.401264018937,4419.63978292143,9.09494701772928e-13,7.105427357601e-14,9.09494701772928e-13,7.93908030263215e-13,5.83094374994525e-15,9.69834322149323e-15,0,0,0.00611050243776558,0.005,0.00524617716491967
1922,21964,17,0.025847394155218,0.00499015908868691,0.0208572350665311,0.0691825173710483,0.0173426664835555,7.8953070490874e-10,192110.647239045,7.89628294797187e-10,527945.111810089,-0.0159226481684113,2.65740368227274e-05,0.0164226481684113,5901.50161959138,225.054230115443,4659.66908187903,9.09494701772928e-13,4.2632564145606e-14,9.09494701772928e-13,1.13533754448355e-12,2.4161065164093e-15,2.1059040023417e-16,0,0,0.00570030287210529,0.005,0.00524402993564353
1958,22000,19,0.0248315175824215,0.00376025042298329,0.0210712671594382,0.0857451294718899,0.0155473591014031,8.06365942349891e-10,188181.267164192,8.16824873733396e-10,315486.205172945,-0.0152965374391016,1.06588140411677e-05,0.0157965374391016,5730.34838427061,219.48998972375,4233.57400914858,4.54747350886464e-13,1.4210854715202e-14,9.09494701772928e-13,2.2709031161025e-13,6.47365704913894e-16,1.9158137668855e-15,0,0,0.00614146889117527,0.005,0.0052363482383221
1061,21103,16,0.023527455053803,0.00433682135636527,0.0191906336974378,0.0644015330677702,0.0150170174507981,7.97125061364487e-10,189867.589794003,8.12659681177516e-10,629133.707745447,-0.0170119322785886,3.59851741539776e-05,0.0175119322785886,5461.50883327699,211.758266184832,3487.29007000883,9.09494701772928e-13,3.5527136788005e-14,4.54747350886464e-13,1.13512783377656e-12,3.72611754134109e-15,2.61489876209124e-15,0,0,0.00565120940198376,0.005,0.00525920885161555
296,20338,2,0.0218740221731866,0.00423493880360184,0.0176390833695847,0.110978505621287,0.0136490750726848,8.11851353951382e-10,182116.858980724,8.42092799508145e-10,1003259.9168297,-0.0253076829646972,6.97419358948949e-05,0.0258076829646972,5289.7214315716,197.702725738123,3853.33694932245,0,0,3.41060513164848e-13,2.26620217733353e-13,9.72950711118099e-16,3.04049221924832e-15,0,0,0.00594013712515351,0.005,0.00517799031651487
458,20500,10,0.0213804494028794,0.00313298659294119,0.0182474628099382,0.0584108011085023,0.00859482465421025,7.86393505514068e-10,188515.04275828,9.05370625036953e-10,653350.245427861,-0.0198029083114919,4.43360259215654e-05,0.0203029083114919,5050.90483259239,215.094670403471,4672.21146116077,9.09494701772928e-13,0,6.82121026329696e-13,1.58834315098009e-12,1.9459014222362e-15,4.0879124365509e-15,0,0,0.00558222495003275,0.005,0.00519531981992988
1044,21086,22,0.020996742641638,0.00633468414145103,0.0146620585001869,0.0849908127612536,0.0287711039675784,7.69675019442224e-10,196916.457267311,7.87232406291407e-10,273134.172866258,-0.0135330885546581,6.4018541266682e-06,0.0140330885546581,5126.40907739719,213.252338334232,4348.18637651841,4.54747350886464e-13,1.4210854715202e-14,6.82121026329696e-13,1.13574995906762e-12,4.42309286014674e-15,4.45732931212156e-15,0,0,0.00637692225169964,0.005,0.00522833281888502
1130,21172,6,0.0209066621579606,0.00167755028194014,0.0192291118760204,0.0361615196986722,0.00395966918328756,8.09097457377055e-10,191983.480611718,8.96551749676506e-10,981929.659863485,-0.0204204704779815,7.25422465418417e-05,0.0209204704779815,5048.17576962451,220.651123376672,4507.65836949073,9.09494701772928e-13,4.2632564145606e-14,1.13686837721616e-12,6.80632617211715e-13,1.53033682971262e-16,3.0353436466939e-15,0,0,0.00589667638608288,0.005,0.00531296567568899
1992,22034,12,0.0202014004201366,0.00408844248928291,0.0161129579308537,0.0454769643314893,0.0113717443455964,7.91990918140073e-10,190323.236021586,1.01592027059449e-09,550425.571800456,-0.0182375702217753,4.08792951717546e-05,0.0187375702217753,4637.66863771147,232.452158223759,5303.97131171821,4.54747350886464e-13,0,2.27373675443232e-13,1.13487819420348e-13,3.70488592953219e-15,8.43712387734566e-15,0,0,0.00599993719916154,0.005,0.00523373647082676
