0.00014448922298643,6.08757675922313e-05,2.23520893075645e-05,6.69919758211197e-05,0.000104544510711749,6.29188531225123e-05,7.59645844504844e-05,4.92058836250963e-05,5.17480257388384e-05,6.40077482182861e-05
6.08757675922313e-05,0.000118221481995236,2.34938251953571e-05,4.74066034523771e-05,3.05164206891183e-05,2.7326643925021e-05,9.79190404341779e-05,3.16150337355531e-05,4.75426990000061e-05,6.1875810220361e-05
2.23520893075645e-05,2.34938251953571e-05,4.43831764421129e-05,4.32770243585314e-05,4.55727918628978e-05,2.75171592266885e-05,4.42594409829567e-05,3.23051875626848e-05,1.89193713905765e-05,2.67403698087285e-05
6.69919758211197e-05,4.74066034523771e-05,4.32770243585314e-05,8.7336204232108e-05,5.64916965540306e-05,2.86847491714057e-05,5.34642755813896e-05,5.69970433620404e-05,2.42264236004056e-05,7.12152030999633e-05
0.000104544510711749,3.05164206891183e-05,4.55727918628978e-05,5.64916965540306e-05,0.000133351419997992,6.39651569873534e-05,9.87442511028414e-05,6.9284892782795e-05,4.25876509156082e-05,5.3464512089178e-05
6.29188531225123e-05,2.7326643925021e-05,2.75171592266885e-05,2.86847491714057e-05,6.39651569873534e-05,7.05441835526716e-05,4.7150951345882e-05,2.36668728475049e-05,3.94900191524998e-05,4.95580228630864e-05
7.59645844504844e-05,9.79190404341779e-05,4.42594409829567e-05,5.34642755813896e-05,9.87442511028414e-05,4.7150951345882e-05,0.000148728137690342,5.4137833331704e-05,3.4622403228688e-05,6.92035819474765e-05
4.92058836250963e-05,3.16150337355531e-05,3.23051875626848e-05,5.69970433620404e-05,6.9284892782795e-05,2.36668728475049e-05,5.4137833331704e-05,9.10611697095795e-05,5.43481087551406e-05,6.26032305954927e-05
5.17480257388384e-05,4.75426990000061e-05,1.89193713905765e-05,2.42264236004056e-05,4.25876509156082e-05,3.94900191524998e-05,3.4622403228688e-05,5.43481087551406e-05,7.65937890115977e-05,3.3890654161493e-05
6.40077482182861e-05,6.1875810220361e-05,2.67403698087285e-05,7.12152030999633e-05,5.3464512089178e-05,4.95580228630864e-05,6.92035819474765e-05,6.26032305954927e-05,3.3890654161493e-05,0.000124423049656693
