statistic_name,stage_t,mean,se,median,p95,p99,bootstrap_ci_low,bootstrap_ci_high
intercept_gap,0,168.788032964589,1.02085458096727,160.906967422606,252.93411431141,305.608955670023,166.761297525419,170.723486814622
intercept_gap,1,164.197045853766,0.974255196188172,156.877069918568,247.143690304251,285.945129074626,162.387164041744,166.104043958468
intercept_gap,2,163.272898930048,0.950769872446704,157.717943479437,240.086470659772,294.814228004085,161.469233337745,165.179017949958
intercept_gap,3,160.18202161414,0.966437403467913,152.189112292532,241.764692670468,295.211039303335,158.321504491276,162.132682826771
intercept_gap,4,159.664380550604,0.930640568604382,153.014308185549,242.847797548117,282.012649712335,157.882999619868,161.433635534001
intercept_gap,5,157.639601511252,0.94948770763511,150.910791534666,236.227674692738,293.085428211703,155.796839698257,159.53165957383
intercept_gap,6,154.775466235832,0.927118669799367,147.567263014866,234.290355532154,286.371833422506,152.955697003798,156.52540571072
intercept_gap,7,154.678763558084,0.931324467324587,148.079577894214,231.958151152701,286.742870761363,152.815100642326,156.489038074483
intercept_gap,8,152.542329601909,0.922740867341389,145.755741972883,229.459307137728,276.424210081753,150.766092448867,154.322599772472
intercept_gap,9,149.640422829848,0.878335237937236,143.576736504225,222.535433415661,270.319599682172,147.902402122053,151.287959526521
intercept_gap,10,145.796721571177,0.876917204177548,140.393861353715,219.162119287287,263.618727729183,144.123609056819,147.527063427576
intercept_gap,11,146.055715763003,0.868886400811017,140.042348408131,218.536842305125,264.128063645016,144.479453801193,147.785373875909
intercept_gap,12,143.189534798894,0.854109118644736,138.396639087317,212.974165199472,260.331557192099,141.57221707179,144.858825017593
intercept_gap,13,141.330483351687,0.863572924283493,135.751130337707,214.07430026551,263.13903482044,139.644543938617,142.997950383195
intercept_gap,14,138.881410033789,0.855227308638,133.004779452105,208.991772173366,263.774089142277,137.253807156331,140.565014699747
intercept_gap,15,137.637642081796,0.815783668057628,131.817374125392,206.251668415144,252.57771164071,135.992197912602,139.237132145673
intercept_gap,16,134.266824290262,0.808333004024831,128.571559800498,201.175471889797,248.091912941332,132.672251853787,135.799221190752
intercept_gap,17,132.311828635329,0.789395881883311,126.714019544462,198.506278731766,240.28048866881,130.726935496604,133.834157136774
intercept_gap,18,129.566978957711,0.759253071146272,124.903782896021,190.485742805126,231.097099806231,128.100266654393,131.052201809843
intercept_gap,19,127.835973377683,0.77009855855933,122.553663285704,189.902844186087,238.75449016691,126.374231408102,129.364202908083
intercept_gap,20,122.677246011182,0.706877851882663,118.277289248335,181.970030908733,217.727297234922,121.286138316157,124.067800465286
intercept_gap,21,124.083772316776,0.743592434251114,118.71980638921,183.345141539641,222.269073387059,122.671361881731,125.626182487335
intercept_gap,22,120.243675910029,0.698741408709647,115.534344025911,177.421026145181,212.799130818683,118.889932323423,121.555119757405
intercept_gap,23,116.566056164821,0.693290334179091,112.724714653285,172.576287179276,209.437163638419,115.159896657847,117.96205274622
intercept_gap,24,115.561761676377,0.705361323721759,110.965269195299,173.428355202222,216.571052061586,114.198318340023,117.011129925697
intercept_gap,25,114.201918318757,0.694957708150705,109.69144716297,171.452879311708,219.297772567081,112.79197181107,115.557330747534
intercept_gap,26,109.790344002066,0.65340338909692,104.759922312465,164.628816554,201.190616473181,108.481630751502,111.072101927451
intercept_gap,27,106.287894043763,0.620281098380367,102.434835450906,155.743233061072,191.631942877829,105.087546053161,107.477507664268
intercept_gap,28,104.077456536604,0.616655015252299,100.036798492709,155.234188380835,191.476340461379,102.922092907416,105.300096196034
intercept_gap,29,100.391502853603,0.590562992939879,96.1985691138737,153.048147320775,176.660130114478,99.2791738352729,101.521807418986
intercept_gap,30,98.4522457118067,0.581642184131227,94.3171218029601,146.53425362726,179.135476327341,97.2710670366223,99.587598805494
intercept_gap,31,93.2411021102765,0.524123339981981,90.0685530813615,137.887289673812,163.641553707762,92.2287283489179,94.2630897564371
intercept_gap,32,92.267441652997,0.547116177747195,88.8121501355868,137.466379513557,168.4278343663,91.1522769135977,93.3394946733183
intercept_gap,33,88.9656354299726,0.512620895313208,85.478617090152,132.144369180738,162.222045144648,88.0054764801914,89.9455841760017
intercept_gap,34,85.3059626328169,0.486272760738741,81.7833253470988,125.391786236405,150.465791561869,84.3773396813678,86.3146628678261
intercept_gap,35,82.2326370366704,0.482910896196506,79.1454065654183,122.866694808559,148.720072436209,81.2558465443904,83.1946413925683
intercept_gap,36,79.4302619734274,0.468405940813533,76.2578803598066,117.29002409833,146.45591722265,78.4923730720199,80.3454761101567
